dateday,season,month,hour,holiday,weekday,workingday,weather,casual,registered,count
2011-01-02,spring,Jan,Pagi,0,Minggu,0,Misty/Cloudy,0,1,1
2011-01-02,spring,Jan,Pagi,0,Minggu,0,Light Snow/Rain,0,8,8
2011-01-02,spring,Jan,Pagi,0,Minggu,0,Misty/Cloudy,1,19,20
2011-01-02,spring,Jan,Pagi,0,Minggu,0,Misty/Cloudy,7,46,53
2011-01-02,spring,Jan,Pagi,0,Minggu,0,Misty/Cloudy,16,54,70
2011-01-02,spring,Jan,Siang,0,Minggu,0,Misty/Cloudy,20,73,93
2011-01-02,spring,Jan,Siang,0,Minggu,0,Misty/Cloudy,11,64,75
2011-01-02,spring,Jan,Siang,0,Minggu,0,Light Snow/Rain,4,55,59
2011-01-02,spring,Jan,Siang,0,Minggu,0,Light Snow/Rain,19,55,74
2011-01-02,spring,Jan,Siang,0,Minggu,0,Light Snow/Rain,9,67,76
2011-01-02,spring,Jan,Siang,0,Minggu,0,Clear/Partly Cloudy,7,58,65
2011-01-02,spring,Jan,Malam,0,Minggu,0,Misty/Cloudy,10,43,53
2011-01-02,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,1,29,30
2011-01-02,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,5,17,22
2011-01-02,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,11,20,31
2011-01-02,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,0,9,9
2011-01-02,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,0,8,8
2011-01-03,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,0,5,5
2011-01-03,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,0,2,2
2011-01-03,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,0,1,1
2011-01-03,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,0,3,3
2011-01-03,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,0,30,30
2011-01-03,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,1,63,64
2011-01-03,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,1,153,154
2011-01-03,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,7,81,88
2011-01-03,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,11,33,44
2011-01-03,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,10,41,51
2011-01-03,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,13,48,61
2011-01-03,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,8,53,61
2011-01-03,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,11,66,77
2011-01-03,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,14,58,72
2011-01-03,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,9,67,76
2011-01-03,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,11,146,157
2011-01-03,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,9,148,157
2011-01-03,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,8,102,110
2011-01-03,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,3,49,52
2011-01-03,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,3,49,52
2011-01-03,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,0,20,20
2011-01-03,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,1,11,12
2011-01-04,spring,Jan,Dini Hari,0,Selasa,1,Clear/Partly Cloudy,0,5,5
2011-01-04,spring,Jan,Dini Hari,0,Selasa,1,Clear/Partly Cloudy,0,2,2
2011-01-04,spring,Jan,Dini Hari,0,Selasa,1,Clear/Partly Cloudy,0,1,1
2011-01-04,spring,Jan,Dini Hari,0,Selasa,1,Clear/Partly Cloudy,0,2,2
2011-01-04,spring,Jan,Dini Hari,0,Selasa,1,Clear/Partly Cloudy,0,4,4
2011-01-04,spring,Jan,Pagi,0,Selasa,1,Clear/Partly Cloudy,0,36,36
2011-01-04,spring,Jan,Pagi,0,Selasa,1,Clear/Partly Cloudy,2,92,94
2011-01-04,spring,Jan,Pagi,0,Selasa,1,Clear/Partly Cloudy,2,177,179
2011-01-04,spring,Jan,Pagi,0,Selasa,1,Clear/Partly Cloudy,2,98,100
2011-01-04,spring,Jan,Pagi,0,Selasa,1,Misty/Cloudy,5,37,42
2011-01-04,spring,Jan,Pagi,0,Selasa,1,Clear/Partly Cloudy,7,50,57
2011-01-04,spring,Jan,Siang,0,Selasa,1,Clear/Partly Cloudy,12,66,78
2011-01-04,spring,Jan,Siang,0,Selasa,1,Clear/Partly Cloudy,18,79,97
2011-01-04,spring,Jan,Siang,0,Selasa,1,Clear/Partly Cloudy,9,54,63
2011-01-04,spring,Jan,Siang,0,Selasa,1,Clear/Partly Cloudy,17,48,65
2011-01-04,spring,Jan,Siang,0,Selasa,1,Clear/Partly Cloudy,15,68,83
2011-01-04,spring,Jan,Siang,0,Selasa,1,Clear/Partly Cloudy,10,202,212
2011-01-04,spring,Jan,Malam,0,Selasa,1,Clear/Partly Cloudy,3,179,182
2011-01-04,spring,Jan,Malam,0,Selasa,1,Clear/Partly Cloudy,2,110,112
2011-01-04,spring,Jan,Malam,0,Selasa,1,Clear/Partly Cloudy,1,53,54
2011-01-04,spring,Jan,Malam,0,Selasa,1,Clear/Partly Cloudy,0,48,48
2011-01-04,spring,Jan,Malam,0,Selasa,1,Clear/Partly Cloudy,1,34,35
2011-01-04,spring,Jan,Malam,0,Selasa,1,Clear/Partly Cloudy,2,9,11
2011-01-05,spring,Jan,Dini Hari,0,Rabu,1,Clear/Partly Cloudy,0,6,6
2011-01-05,spring,Jan,Dini Hari,0,Rabu,1,Clear/Partly Cloudy,0,6,6
2011-01-05,spring,Jan,Dini Hari,0,Rabu,1,Clear/Partly Cloudy,0,2,2
2011-01-05,spring,Jan,Dini Hari,0,Rabu,1,Clear/Partly Cloudy,0,2,2
2011-01-05,spring,Jan,Dini Hari,0,Rabu,1,Clear/Partly Cloudy,0,3,3
2011-01-05,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,0,33,33
2011-01-05,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,1,87,88
2011-01-05,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,3,192,195
2011-01-05,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,6,109,115
2011-01-05,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,4,53,57
2011-01-05,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,12,34,46
2011-01-05,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,5,74,79
2011-01-05,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,6,65,71
2011-01-05,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,10,52,62
2011-01-05,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,7,55,62
2011-01-05,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,4,85,89
2011-01-05,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,4,186,190
2011-01-05,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,3,166,169
2011-01-05,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,5,127,132
2011-01-05,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,7,82,89
2011-01-05,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,3,40,43
2011-01-05,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,1,41,42
2011-01-05,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,1,18,19
2011-01-06,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,11,11
2011-01-06,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,4,4
2011-01-06,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,2,2
2011-01-06,spring,Jan,Dini Hari,0,Kamis,1,Misty/Cloudy,0,1,1
2011-01-06,spring,Jan,Dini Hari,0,Kamis,1,Misty/Cloudy,0,4,4
2011-01-06,spring,Jan,Pagi,0,Kamis,1,Misty/Cloudy,0,36,36
2011-01-06,spring,Jan,Pagi,0,Kamis,1,Misty/Cloudy,0,95,95
2011-01-06,spring,Jan,Pagi,0,Kamis,1,Clear/Partly Cloudy,3,216,219
2011-01-06,spring,Jan,Pagi,0,Kamis,1,Misty/Cloudy,6,116,122
2011-01-06,spring,Jan,Pagi,0,Kamis,1,Clear/Partly Cloudy,3,42,45
2011-01-06,spring,Jan,Pagi,0,Kamis,1,Clear/Partly Cloudy,2,57,59
2011-01-06,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,6,78,84
2011-01-06,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,12,55,67
2011-01-06,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,11,59,70
2011-01-06,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,8,54,62
2011-01-06,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,12,74,86
2011-01-06,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,9,163,172
2011-01-06,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,5,158,163
2011-01-06,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,3,109,112
2011-01-06,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,3,66,69
2011-01-06,spring,Jan,Malam,0,Kamis,1,Misty/Cloudy,0,48,48
2011-01-06,spring,Jan,Malam,0,Kamis,1,Misty/Cloudy,1,51,52
2011-01-06,spring,Jan,Malam,0,Kamis,1,Misty/Cloudy,4,19,23
2011-01-07,spring,Jan,Dini Hari,0,Jumat,1,Misty/Cloudy,4,13,17
2011-01-07,spring,Jan,Dini Hari,0,Jumat,1,Misty/Cloudy,2,5,7
2011-01-07,spring,Jan,Dini Hari,0,Jumat,1,Misty/Cloudy,0,1,1
2011-01-07,spring,Jan,Dini Hari,0,Jumat,1,Misty/Cloudy,0,1,1
2011-01-07,spring,Jan,Dini Hari,0,Jumat,1,Light Snow/Rain,0,5,5
2011-01-07,spring,Jan,Pagi,0,Jumat,1,Misty/Cloudy,8,26,34
2011-01-07,spring,Jan,Pagi,0,Jumat,1,Clear/Partly Cloudy,8,76,84
2011-01-07,spring,Jan,Pagi,0,Jumat,1,Clear/Partly Cloudy,20,190,210
2011-01-07,spring,Jan,Pagi,0,Jumat,1,Clear/Partly Cloudy,9,125,134
2011-01-07,spring,Jan,Pagi,0,Jumat,1,Clear/Partly Cloudy,16,47,63
2011-01-07,spring,Jan,Pagi,0,Jumat,1,Misty/Cloudy,19,48,67
2011-01-07,spring,Jan,Siang,0,Jumat,1,Misty/Cloudy,9,50,59
2011-01-07,spring,Jan,Siang,0,Jumat,1,Misty/Cloudy,9,64,73
2011-01-07,spring,Jan,Siang,0,Jumat,1,Misty/Cloudy,7,43,50
2011-01-07,spring,Jan,Siang,0,Jumat,1,Misty/Cloudy,9,63,72
2011-01-07,spring,Jan,Siang,0,Jumat,1,Misty/Cloudy,5,82,87
2011-01-07,spring,Jan,Siang,0,Jumat,1,Misty/Cloudy,9,178,187
2011-01-07,spring,Jan,Malam,0,Jumat,1,Clear/Partly Cloudy,7,116,123
2011-01-07,spring,Jan,Malam,0,Jumat,1,Clear/Partly Cloudy,3,92,95
2011-01-07,spring,Jan,Malam,0,Jumat,1,Clear/Partly Cloudy,1,50,51
2011-01-07,spring,Jan,Malam,0,Jumat,1,Clear/Partly Cloudy,0,39,39
2011-01-07,spring,Jan,Malam,0,Jumat,1,Misty/Cloudy,2,34,36
2011-01-07,spring,Jan,Malam,0,Jumat,1,Misty/Cloudy,1,14,15
2011-01-08,spring,Jan,Dini Hari,0,Sabtu,0,Misty/Cloudy,1,24,25
2011-01-08,spring,Jan,Dini Hari,0,Sabtu,0,Misty/Cloudy,1,15,16
2011-01-08,spring,Jan,Dini Hari,0,Sabtu,0,Misty/Cloudy,3,13,16
2011-01-08,spring,Jan,Dini Hari,0,Sabtu,0,Light Snow/Rain,0,7,7
2011-01-08,spring,Jan,Dini Hari,0,Sabtu,0,Light Snow/Rain,0,1,1
2011-01-08,spring,Jan,Dini Hari,0,Sabtu,0,Misty/Cloudy,0,5,5
2011-01-08,spring,Jan,Pagi,0,Sabtu,0,Misty/Cloudy,0,2,2
2011-01-08,spring,Jan,Pagi,0,Sabtu,0,Misty/Cloudy,1,8,9
2011-01-08,spring,Jan,Pagi,0,Sabtu,0,Light Snow/Rain,0,15,15
2011-01-08,spring,Jan,Pagi,0,Sabtu,0,Light Snow/Rain,0,20,20
2011-01-08,spring,Jan,Pagi,0,Sabtu,0,Misty/Cloudy,5,56,61
2011-01-08,spring,Jan,Pagi,0,Sabtu,0,Misty/Cloudy,2,60,62
2011-01-08,spring,Jan,Siang,0,Sabtu,0,Misty/Cloudy,8,90,98
2011-01-08,spring,Jan,Siang,0,Sabtu,0,Clear/Partly Cloudy,7,95,102
2011-01-08,spring,Jan,Siang,0,Sabtu,0,Clear/Partly Cloudy,12,83,95
2011-01-08,spring,Jan,Siang,0,Sabtu,0,Clear/Partly Cloudy,5,69,74
2011-01-08,spring,Jan,Siang,0,Sabtu,0,Clear/Partly Cloudy,8,68,76
2011-01-08,spring,Jan,Siang,0,Sabtu,0,Clear/Partly Cloudy,5,64,69
2011-01-08,spring,Jan,Malam,0,Sabtu,0,Clear/Partly Cloudy,3,52,55
2011-01-08,spring,Jan,Malam,0,Sabtu,0,Clear/Partly Cloudy,4,26,30
2011-01-08,spring,Jan,Malam,0,Sabtu,0,Clear/Partly Cloudy,0,28,28
2011-01-08,spring,Jan,Malam,0,Sabtu,0,Clear/Partly Cloudy,2,35,37
2011-01-08,spring,Jan,Malam,0,Sabtu,0,Clear/Partly Cloudy,1,33,34
2011-01-08,spring,Jan,Malam,0,Sabtu,0,Clear/Partly Cloudy,0,22,22
2011-01-09,spring,Jan,Dini Hari,0,Minggu,0,Clear/Partly Cloudy,1,24,25
2011-01-09,spring,Jan,Dini Hari,0,Minggu,0,Clear/Partly Cloudy,0,12,12
2011-01-09,spring,Jan,Dini Hari,0,Minggu,0,Clear/Partly Cloudy,0,11,11
2011-01-09,spring,Jan,Dini Hari,0,Minggu,0,Clear/Partly Cloudy,0,4,4
2011-01-09,spring,Jan,Dini Hari,0,Minggu,0,Clear/Partly Cloudy,0,1,1
2011-01-09,spring,Jan,Dini Hari,0,Minggu,0,Clear/Partly Cloudy,0,1,1
2011-01-09,spring,Jan,Pagi,0,Minggu,0,Clear/Partly Cloudy,0,1,1
2011-01-09,spring,Jan,Pagi,0,Minggu,0,Clear/Partly Cloudy,1,5,6
2011-01-09,spring,Jan,Pagi,0,Minggu,0,Clear/Partly Cloudy,0,10,10
2011-01-09,spring,Jan,Pagi,0,Minggu,0,Clear/Partly Cloudy,0,19,19
2011-01-09,spring,Jan,Pagi,0,Minggu,0,Clear/Partly Cloudy,0,49,49
2011-01-09,spring,Jan,Pagi,0,Minggu,0,Clear/Partly Cloudy,2,47,49
2011-01-09,spring,Jan,Siang,0,Minggu,0,Clear/Partly Cloudy,4,79,83
2011-01-09,spring,Jan,Siang,0,Minggu,0,Clear/Partly Cloudy,6,69,75
2011-01-09,spring,Jan,Siang,0,Minggu,0,Clear/Partly Cloudy,8,64,72
2011-01-09,spring,Jan,Siang,0,Minggu,0,Clear/Partly Cloudy,5,77,82
2011-01-09,spring,Jan,Siang,0,Minggu,0,Clear/Partly Cloudy,13,79,92
2011-01-09,spring,Jan,Siang,0,Minggu,0,Clear/Partly Cloudy,3,59,62
2011-01-09,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,4,44,48
2011-01-09,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,1,40,41
2011-01-09,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,0,38,38
2011-01-09,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,1,19,20
2011-01-09,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,5,10,15
2011-01-09,spring,Jan,Malam,0,Minggu,0,Clear/Partly Cloudy,0,6,6
2011-01-10,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,2,3,5
2011-01-10,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,1,0,1
2011-01-10,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,0,3,3
2011-01-10,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,0,1,1
2011-01-10,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,1,2,3
2011-01-10,spring,Jan,Dini Hari,0,Senin,1,Clear/Partly Cloudy,0,3,3
2011-01-10,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,0,31,31
2011-01-10,spring,Jan,Pagi,0,Senin,1,Clear/Partly Cloudy,2,75,77
2011-01-10,spring,Jan,Pagi,0,Senin,1,Misty/Cloudy,4,184,188
2011-01-10,spring,Jan,Pagi,0,Senin,1,Misty/Cloudy,2,92,94
2011-01-10,spring,Jan,Pagi,0,Senin,1,Misty/Cloudy,0,31,31
2011-01-10,spring,Jan,Pagi,0,Senin,1,Misty/Cloudy,2,28,30
2011-01-10,spring,Jan,Siang,0,Senin,1,Misty/Cloudy,5,47,52
2011-01-10,spring,Jan,Siang,0,Senin,1,Misty/Cloudy,4,50,54
2011-01-10,spring,Jan,Siang,0,Senin,1,Misty/Cloudy,0,47,47
2011-01-10,spring,Jan,Siang,0,Senin,1,Misty/Cloudy,2,43,45
2011-01-10,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,4,70,74
2011-01-10,spring,Jan,Siang,0,Senin,1,Clear/Partly Cloudy,4,174,178
2011-01-10,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,1,154,155
2011-01-10,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,3,92,95
2011-01-10,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,1,73,74
2011-01-10,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,1,37,38
2011-01-10,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,2,22,24
2011-01-10,spring,Jan,Malam,0,Senin,1,Clear/Partly Cloudy,0,18,18
2011-01-11,spring,Jan,Dini Hari,0,Selasa,1,Clear/Partly Cloudy,2,10,12
2011-01-11,spring,Jan,Dini Hari,0,Selasa,1,Clear/Partly Cloudy,0,3,3
2011-01-11,spring,Jan,Dini Hari,0,Selasa,1,Misty/Cloudy,0,3,3
2011-01-11,spring,Jan,Dini Hari,0,Selasa,1,Misty/Cloudy,0,6,6
2011-01-11,spring,Jan,Pagi,0,Selasa,1,Misty/Cloudy,0,27,27
2011-01-11,spring,Jan,Pagi,0,Selasa,1,Misty/Cloudy,2,97,99
2011-01-11,spring,Jan,Pagi,0,Selasa,1,Misty/Cloudy,3,214,217
2011-01-11,spring,Jan,Pagi,0,Selasa,1,Misty/Cloudy,3,127,130
2011-01-11,spring,Jan,Pagi,0,Selasa,1,Misty/Cloudy,3,51,54
2011-01-11,spring,Jan,Pagi,0,Selasa,1,Misty/Cloudy,4,31,35
2011-01-11,spring,Jan,Siang,0,Selasa,1,Misty/Cloudy,2,55,57
2011-01-11,spring,Jan,Siang,0,Selasa,1,Misty/Cloudy,6,46,52
2011-01-11,spring,Jan,Siang,0,Selasa,1,Misty/Cloudy,3,60,63
2011-01-11,spring,Jan,Siang,0,Selasa,1,Misty/Cloudy,2,45,47
2011-01-11,spring,Jan,Siang,0,Selasa,1,Misty/Cloudy,4,72,76
2011-01-11,spring,Jan,Siang,0,Selasa,1,Misty/Cloudy,6,130,136
2011-01-11,spring,Jan,Malam,0,Selasa,1,Light Snow/Rain,1,94,95
2011-01-11,spring,Jan,Malam,0,Selasa,1,Light Snow/Rain,0,51,51
2011-01-11,spring,Jan,Malam,0,Selasa,1,Light Snow/Rain,0,32,32
2011-01-11,spring,Jan,Malam,0,Selasa,1,Light Snow/Rain,0,20,20
2011-01-11,spring,Jan,Malam,0,Selasa,1,Light Snow/Rain,1,28,29
2011-01-11,spring,Jan,Malam,0,Selasa,1,Light Snow/Rain,1,18,19
2011-01-12,spring,Jan,Dini Hari,0,Rabu,1,Misty/Cloudy,0,7,7
2011-01-12,spring,Jan,Dini Hari,0,Rabu,1,Misty/Cloudy,0,6,6
2011-01-12,spring,Jan,Dini Hari,0,Rabu,1,Clear/Partly Cloudy,0,1,1
2011-01-12,spring,Jan,Dini Hari,0,Rabu,1,Clear/Partly Cloudy,0,5,5
2011-01-12,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,0,16,16
2011-01-12,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,0,54,54
2011-01-12,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,3,125,128
2011-01-12,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,3,78,81
2011-01-12,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,0,39,39
2011-01-12,spring,Jan,Pagi,0,Rabu,1,Clear/Partly Cloudy,3,32,35
2011-01-12,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,3,52,55
2011-01-12,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,0,49,49
2011-01-12,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,0,44,44
2011-01-12,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,1,48,49
2011-01-12,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,5,63,68
2011-01-12,spring,Jan,Siang,0,Rabu,1,Clear/Partly Cloudy,0,139,139
2011-01-12,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,2,135,137
2011-01-12,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,1,82,83
2011-01-12,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,2,54,56
2011-01-12,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,0,57,57
2011-01-12,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,1,32,33
2011-01-12,spring,Jan,Malam,0,Rabu,1,Clear/Partly Cloudy,1,19,20
2011-01-13,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,1,6,7
2011-01-13,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,2,2
2011-01-13,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,2,2
2011-01-13,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,3,3
2011-01-13,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,4,4
2011-01-13,spring,Jan,Dini Hari,0,Kamis,1,Clear/Partly Cloudy,0,3,3
2011-01-13,spring,Jan,Pagi,0,Kamis,1,Clear/Partly Cloudy,0,28,28
2011-01-13,spring,Jan,Pagi,0,Kamis,1,Clear/Partly Cloudy,0,72,72
2011-01-13,spring,Jan,Pagi,0,Kamis,1,Clear/Partly Cloudy,5,197,202
2011-01-13,spring,Jan,Pagi,0,Kamis,1,Clear/Partly Cloudy,2,137,139
2011-01-13,spring,Jan,Pagi,0,Kamis,1,Misty/Cloudy,2,36,38
2011-01-13,spring,Jan,Pagi,0,Kamis,1,Misty/Cloudy,4,33,37
2011-01-13,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,3,49,52
2011-01-13,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,2,81,83
2011-01-13,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,3,39,42
2011-01-13,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,5,55,60
2011-01-13,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,2,76,78
2011-01-13,spring,Jan,Siang,0,Kamis,1,Clear/Partly Cloudy,4,158,162
2011-01-13,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,3,141,144
2011-01-13,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,1,98,99
2011-01-13,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,0,64,64
2011-01-13,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,0,40,40
2011-01-13,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,0,30,30
2011-01-13,spring,Jan,Malam,0,Kamis,1,Clear/Partly Cloudy,1,14,15
2011-01-14,spring,Jan,Dini Hari,0,Jumat,1,Clear/Partly Cloudy,0,14,14
2011-01-14,spring,Jan,Dini Hari,0,Jumat,1,Clear/Partly Cloudy,0,5,5
