dateday,season,year,month,hour,count
2011-01-08,spring,2011,Jan,16,76
2011-01-08,spring,2011,Jan,17,69
2011-01-08,spring,2011,Jan,18,55
2011-01-08,spring,2011,Jan,19,30
2011-01-08,spring,2011,Jan,20,28
2011-01-08,spring,2011,Jan,21,37
2011-01-08,spring,2011,Jan,22,34
2011-01-08,spring,2011,Jan,23,22
2011-01-09,spring,2011,Jan,0,25
2011-01-09,spring,2011,Jan,1,12
2011-01-09,spring,2011,Jan,2,11
2011-01-09,spring,2011,Jan,3,4
2011-01-09,spring,2011,Jan,4,1
2011-01-09,spring,2011,Jan,5,1
2011-01-09,spring,2011,Jan,6,1
2011-01-09,spring,2011,Jan,7,6
2011-01-09,spring,2011,Jan,8,10
2011-01-09,spring,2011,Jan,9,19
2011-01-09,spring,2011,Jan,10,49
2011-01-09,spring,2011,Jan,11,49
2011-01-09,spring,2011,Jan,12,83
2011-01-09,spring,2011,Jan,13,75
2011-01-09,spring,2011,Jan,14,72
2011-01-09,spring,2011,Jan,15,82
2011-01-09,spring,2011,Jan,16,92
2011-01-09,spring,2011,Jan,17,62
2011-01-09,spring,2011,Jan,18,48
2011-01-09,spring,2011,Jan,19,41
2011-01-09,spring,2011,Jan,20,38
2011-01-09,spring,2011,Jan,21,20
2011-01-09,spring,2011,Jan,22,15
2011-01-09,spring,2011,Jan,23,6
2011-01-10,spring,2011,Jan,0,5
2011-01-10,spring,2011,Jan,1,1
2011-01-10,spring,2011,Jan,2,3
2011-01-10,spring,2011,Jan,3,1
2011-01-10,spring,2011,Jan,4,3
2011-01-10,spring,2011,Jan,5,3
2011-01-10,spring,2011,Jan,6,31
2011-01-10,spring,2011,Jan,7,77
2011-01-10,spring,2011,Jan,8,188
2011-01-10,spring,2011,Jan,9,94
2011-01-10,spring,2011,Jan,10,31
2011-01-10,spring,2011,Jan,11,30
2011-01-10,spring,2011,Jan,12,52
2011-01-10,spring,2011,Jan,13,54
2011-01-10,spring,2011,Jan,14,47
2011-01-10,spring,2011,Jan,15,45
2011-01-10,spring,2011,Jan,16,74
2011-01-10,spring,2011,Jan,17,178
2011-01-10,spring,2011,Jan,18,155
2011-01-10,spring,2011,Jan,19,95
2011-01-10,spring,2011,Jan,20,74
2011-01-10,spring,2011,Jan,21,38
2011-01-10,spring,2011,Jan,22,24
2011-01-10,spring,2011,Jan,23,18
2011-01-11,spring,2011,Jan,0,12
2011-01-11,spring,2011,Jan,1,3
2011-01-11,spring,2011,Jan,2,3
2011-01-11,spring,2011,Jan,5,6
2011-01-11,spring,2011,Jan,6,27
2011-01-11,spring,2011,Jan,7,99
2011-01-11,spring,2011,Jan,8,217
2011-01-11,spring,2011,Jan,9,130
2011-01-11,spring,2011,Jan,10,54
2011-01-11,spring,2011,Jan,11,35
2011-01-11,spring,2011,Jan,12,57
2011-01-11,spring,2011,Jan,13,52
2011-01-11,spring,2011,Jan,14,63
2011-01-11,spring,2011,Jan,15,47
2011-01-11,spring,2011,Jan,16,76
2011-01-11,spring,2011,Jan,17,136
2011-01-11,spring,2011,Jan,18,95
2011-01-11,spring,2011,Jan,19,51
2011-01-11,spring,2011,Jan,20,32
2011-01-11,spring,2011,Jan,21,20
2011-01-11,spring,2011,Jan,22,29
2011-01-11,spring,2011,Jan,23,19
2011-01-12,spring,2011,Jan,0,7
2011-01-12,spring,2011,Jan,1,6
2011-01-12,spring,2011,Jan,2,1
2011-01-12,spring,2011,Jan,5,5
2011-01-12,spring,2011,Jan,6,16
2011-01-12,spring,2011,Jan,7,54
2011-01-12,spring,2011,Jan,8,128
2011-01-12,spring,2011,Jan,9,81
2011-01-12,spring,2011,Jan,10,39
2011-01-12,spring,2011,Jan,11,35
2011-01-12,spring,2011,Jan,12,55
2011-01-12,spring,2011,Jan,13,49
2011-01-12,spring,2011,Jan,14,44
2011-01-12,spring,2011,Jan,15,49
2011-01-12,spring,2011,Jan,16,68
2011-01-12,spring,2011,Jan,17,139
2011-01-12,spring,2011,Jan,18,137
2011-01-12,spring,2011,Jan,19,83
2011-01-12,spring,2011,Jan,20,56
2011-01-12,spring,2011,Jan,21,57
2011-01-12,spring,2011,Jan,22,33
2011-01-12,spring,2011,Jan,23,20
2011-01-13,spring,2011,Jan,0,7
2011-01-13,spring,2011,Jan,1,2
2011-01-13,spring,2011,Jan,2,2
2011-01-13,spring,2011,Jan,3,3
2011-01-13,spring,2011,Jan,4,4
2011-01-13,spring,2011,Jan,5,3
2011-01-13,spring,2011,Jan,6,28
2011-01-13,spring,2011,Jan,7,72
2011-01-13,spring,2011,Jan,8,202
2011-01-13,spring,2011,Jan,9,139
2011-01-13,spring,2011,Jan,10,38
2011-01-13,spring,2011,Jan,11,37
2011-01-13,spring,2011,Jan,12,52
2011-01-13,spring,2011,Jan,13,83
2011-01-13,spring,2011,Jan,14,42
2011-01-13,spring,2011,Jan,15,60
2011-01-13,spring,2011,Jan,16,78
2011-01-13,spring,2011,Jan,17,162
2011-01-13,spring,2011,Jan,18,144
2011-01-13,spring,2011,Jan,19,99
2011-01-13,spring,2011,Jan,20,64
2011-01-13,spring,2011,Jan,21,40
2011-01-13,spring,2011,Jan,22,30
2011-01-13,spring,2011,Jan,23,15
2011-01-14,spring,2011,Jan,0,14
2011-01-14,spring,2011,Jan,1,5
2011-01-14,spring,2011,Jan,2,1
2011-01-14,spring,2011,Jan,3,1
2011-01-14,spring,2011,Jan,5,8
2011-01-14,spring,2011,Jan,6,17
2011-01-14,spring,2011,Jan,7,70
2011-01-14,spring,2011,Jan,8,158
2011-01-14,spring,2011,Jan,9,117
2011-01-14,spring,2011,Jan,10,44
2011-01-14,spring,2011,Jan,11,53
2011-01-14,spring,2011,Jan,12,61
2011-01-14,spring,2011,Jan,13,77
2011-01-14,spring,2011,Jan,14,64
2011-01-14,spring,2011,Jan,15,68
2011-01-14,spring,2011,Jan,16,90
2011-01-14,spring,2011,Jan,17,159
2011-01-14,spring,2011,Jan,18,139
2011-01-14,spring,2011,Jan,19,92
2011-01-14,spring,2011,Jan,20,68
2011-01-14,spring,2011,Jan,21,52
2011-01-14,spring,2011,Jan,22,36
2011-01-14,spring,2011,Jan,23,27
2011-01-15,spring,2011,Jan,0,28
2011-01-15,spring,2011,Jan,1,20
2011-01-15,spring,2011,Jan,2,12
2011-01-15,spring,2011,Jan,3,8
2011-01-15,spring,2011,Jan,4,5
2011-01-15,spring,2011,Jan,5,1
2011-01-15,spring,2011,Jan,6,3
2011-01-15,spring,2011,Jan,7,10
2011-01-15,spring,2011,Jan,8,23
2011-01-15,spring,2011,Jan,9,33
2011-01-15,spring,2011,Jan,10,59
2011-01-15,spring,2011,Jan,11,72
2011-01-15,spring,2011,Jan,12,89
2011-01-15,spring,2011,Jan,13,101
2011-01-15,spring,2011,Jan,14,118
2011-01-15,spring,2011,Jan,15,129
2011-01-15,spring,2011,Jan,16,128
2011-01-15,spring,2011,Jan,17,83
2011-01-15,spring,2011,Jan,18,84
2011-01-15,spring,2011,Jan,19,74
2011-01-15,spring,2011,Jan,20,41
2011-01-15,spring,2011,Jan,21,57
2011-01-15,spring,2011,Jan,22,26
2011-01-15,spring,2011,Jan,23,44
2011-01-16,spring,2011,Jan,0,39
2011-01-16,spring,2011,Jan,1,23
2011-01-16,spring,2011,Jan,2,16
2011-01-16,spring,2011,Jan,3,15
2011-01-16,spring,2011,Jan,4,1
2011-01-16,spring,2011,Jan,5,2
2011-01-16,spring,2011,Jan,6,1
2011-01-16,spring,2011,Jan,7,3
2011-01-16,spring,2011,Jan,8,18
2011-01-16,spring,2011,Jan,9,32
2011-01-16,spring,2011,Jan,10,79
2011-01-16,spring,2011,Jan,11,93
2011-01-16,spring,2011,Jan,12,104
2011-01-16,spring,2011,Jan,13,118
2011-01-16,spring,2011,Jan,14,91
2011-01-16,spring,2011,Jan,15,113
2011-01-16,spring,2011,Jan,16,99
2011-01-16,spring,2011,Jan,17,105
2011-01-16,spring,2011,Jan,18,67
2011-01-16,spring,2011,Jan,19,61
2011-01-16,spring,2011,Jan,20,57
2011-01-16,spring,2011,Jan,21,28
2011-01-16,spring,2011,Jan,22,21
2011-01-16,spring,2011,Jan,23,18
2011-01-17,spring,2011,Jan,0,17
2011-01-17,spring,2011,Jan,1,16
2011-01-17,spring,2011,Jan,2,8
2011-01-17,spring,2011,Jan,3,2
2011-01-17,spring,2011,Jan,4,3
2011-01-17,spring,2011,Jan,5,1
2011-01-17,spring,2011,Jan,6,5
2011-01-17,spring,2011,Jan,7,13
2011-01-17,spring,2011,Jan,8,33
2011-01-17,spring,2011,Jan,9,47
2011-01-17,spring,2011,Jan,10,57
2011-01-17,spring,2011,Jan,11,64
2011-01-17,spring,2011,Jan,12,80
2011-01-17,spring,2011,Jan,13,93
2011-01-17,spring,2011,Jan,14,86
2011-01-17,spring,2011,Jan,15,93
2011-01-17,spring,2011,Jan,16,82
2011-01-17,spring,2011,Jan,17,71
2011-01-17,spring,2011,Jan,18,92
2011-01-17,spring,2011,Jan,19,60
2011-01-17,spring,2011,Jan,20,33
2011-01-17,spring,2011,Jan,21,27
2011-01-17,spring,2011,Jan,22,13
2011-01-17,spring,2011,Jan,23,4
2011-01-18,spring,2011,Jan,12,3
2011-01-18,spring,2011,Jan,13,22
2011-01-18,spring,2011,Jan,14,28
2011-01-18,spring,2011,Jan,15,35
2011-01-18,spring,2011,Jan,16,61
2011-01-18,spring,2011,Jan,17,125
2011-01-18,spring,2011,Jan,18,133
2011-01-18,spring,2011,Jan,19,99
2011-01-18,spring,2011,Jan,20,83
2011-01-18,spring,2011,Jan,21,41
2011-01-18,spring,2011,Jan,22,33
2011-01-18,spring,2011,Jan,23,20
2011-01-19,spring,2011,Jan,0,3
2011-01-19,spring,2011,Jan,1,7
2011-01-19,spring,2011,Jan,2,3
2011-01-19,spring,2011,Jan,4,2
2011-01-19,spring,2011,Jan,5,7
2011-01-19,spring,2011,Jan,6,32
2011-01-19,spring,2011,Jan,7,90
2011-01-19,spring,2011,Jan,8,197
2011-01-19,spring,2011,Jan,9,109
2011-01-19,spring,2011,Jan,10,47
2011-01-19,spring,2011,Jan,11,52
2011-01-19,spring,2011,Jan,12,70
2011-01-19,spring,2011,Jan,13,78
2011-01-19,spring,2011,Jan,14,75
2011-01-19,spring,2011,Jan,15,82
2011-01-19,spring,2011,Jan,16,104
2011-01-19,spring,2011,Jan,17,197
2011-01-19,spring,2011,Jan,18,161
2011-01-19,spring,2011,Jan,19,112
2011-01-19,spring,2011,Jan,20,76
2011-01-19,spring,2011,Jan,21,59
2011-01-19,spring,2011,Jan,22,59
2011-01-19,spring,2011,Jan,23,28
2011-01-20,spring,2011,Jan,0,13
2011-01-20,spring,2011,Jan,1,5
2011-01-20,spring,2011,Jan,2,2
2011-01-20,spring,2011,Jan,3,1
2011-01-20,spring,2011,Jan,4,1
2011-01-20,spring,2011,Jan,5,6
2011-01-20,spring,2011,Jan,6,35
2011-01-20,spring,2011,Jan,7,101
2011-01-20,spring,2011,Jan,8,249
2011-01-20,spring,2011,Jan,9,143
2011-01-20,spring,2011,Jan,10,57
2011-01-20,spring,2011,Jan,11,68
2011-01-20,spring,2011,Jan,12,84
2011-01-20,spring,2011,Jan,13,98
2011-01-20,spring,2011,Jan,14,81
2011-01-20,spring,2011,Jan,15,70
2011-01-20,spring,2011,Jan,16,91
2011-01-20,spring,2011,Jan,17,215
2011-01-20,spring,2011,Jan,18,185
2011-01-20,spring,2011,Jan,19,152
2011-01-20,spring,2011,Jan,20,126
2011-01-20,spring,2011,Jan,21,57
2011-01-20,spring,2011,Jan,22,56
2011-01-20,spring,2011,Jan,23,31
2011-01-21,spring,2011,Jan,0,21
2011-01-21,spring,2011,Jan,1,6
2011-01-21,spring,2011,Jan,2,2
2011-01-21,spring,2011,Jan,3,1
2011-01-21,spring,2011,Jan,4,1
2011-01-21,spring,2011,Jan,5,5
2011-01-21,spring,2011,Jan,6,27
2011-01-21,spring,2011,Jan,7,68
2011-01-21,spring,2011,Jan,8,217
2011-01-21,spring,2011,Jan,9,166
2011-01-21,spring,2011,Jan,10,63
2011-01-21,spring,2011,Jan,11,59
2011-01-21,spring,2011,Jan,12,78
2011-01-21,spring,2011,Jan,13,73
2011-01-21,spring,2011,Jan,14,62
2011-01-21,spring,2011,Jan,15,65
2011-01-21,spring,2011,Jan,16,97
2011-01-21,spring,2011,Jan,17,161
2011-01-21,spring,2011,Jan,18,120
2011-01-21,spring,2011,Jan,19,96
2011-01-21,spring,2011,Jan,20,53
2011-01-21,spring,2011,Jan,21,41
2011-01-21,spring,2011,Jan,22,34
2011-01-21,spring,2011,Jan,23,27
2011-01-22,spring,2011,Jan,0,13
2011-01-22,spring,2011,Jan,1,12
2011-01-22,spring,2011,Jan,2,11
2011-01-22,spring,2011,Jan,3,7
2011-01-22,spring,2011,Jan,4,3
2011-01-22,spring,2011,Jan,6,2
2011-01-22,spring,2011,Jan,7,8
2011-01-22,spring,2011,Jan,8,27
2011-01-22,spring,2011,Jan,9,40
2011-01-22,spring,2011,Jan,10,53
2011-01-22,spring,2011,Jan,11,63
2011-01-22,spring,2011,Jan,12,70
2011-01-22,spring,2011,Jan,13,84
2011-01-22,spring,2011,Jan,14,75
2011-01-22,spring,2011,Jan,15,103
2011-01-22,spring,2011,Jan,16,83
2011-01-22,spring,2011,Jan,17,67
2011-01-22,spring,2011,Jan,18,54
2011-01-22,spring,2011,Jan,19,59
2011-01-22,spring,2011,Jan,20,45
2011-01-22,spring,2011,Jan,21,39
2011-01-22,spring,2011,Jan,22,30
2011-01-22,spring,2011,Jan,23,33
2011-01-23,spring,2011,Jan,0,22
2011-01-23,spring,2011,Jan,1,13
2011-01-23,spring,2011,Jan,2,18
2011-01-23,spring,2011,Jan,3,5
2011-01-23,spring,2011,Jan,5,3
2011-01-23,spring,2011,Jan,6,1
2011-01-23,spring,2011,Jan,7,2
2011-01-23,spring,2011,Jan,8,19
2011-01-23,spring,2011,Jan,9,28
2011-01-23,spring,2011,Jan,10,58
2011-01-23,spring,2011,Jan,11,99
2011-01-23,spring,2011,Jan,12,116
2011-01-23,spring,2011,Jan,13,87
2011-01-23,spring,2011,Jan,14,110
2011-01-23,spring,2011,Jan,15,77
2011-01-23,spring,2011,Jan,16,65
2011-01-23,spring,2011,Jan,17,55
2011-01-23,spring,2011,Jan,18,49
2011-01-23,spring,2011,Jan,19,50
2011-01-23,spring,2011,Jan,20,35
2011-01-23,spring,2011,Jan,21,25
2011-01-23,spring,2011,Jan,22,28
2011-01-23,spring,2011,Jan,23,21
2011-01-24,spring,2011,Jan,0,7
2011-01-24,spring,2011,Jan,1,1
2011-01-24,spring,2011,Jan,3,1
2011-01-24,spring,2011,Jan,4,1
2011-01-24,spring,2011,Jan,5,5
2011-01-24,spring,2011,Jan,6,15
2011-01-24,spring,2011,Jan,7,84
2011-01-24,spring,2011,Jan,8,177
2011-01-24,spring,2011,Jan,9,102
2011-01-24,spring,2011,Jan,10,40
2011-01-24,spring,2011,Jan,11,46
2011-01-24,spring,2011,Jan,12,63
2011-01-24,spring,2011,Jan,13,60
2011-01-24,spring,2011,Jan,14,45
2011-01-24,spring,2011,Jan,15,57
2011-01-24,spring,2011,Jan,16,70
2011-01-24,spring,2011,Jan,17,184
2011-01-24,spring,2011,Jan,18,153
2011-01-24,spring,2011,Jan,19,106
2011-01-24,spring,2011,Jan,20,81
2011-01-24,spring,2011,Jan,21,59
2011-01-24,spring,2011,Jan,22,35
2011-01-24,spring,2011,Jan,23,24
2011-01-25,spring,2011,Jan,0,9
2011-01-25,spring,2011,Jan,1,5
2011-01-25,spring,2011,Jan,2,2
2011-01-25,spring,2011,Jan,4,1
2011-01-25,spring,2011,Jan,5,9
2011-01-25,spring,2011,Jan,6,36
2011-01-25,spring,2011,Jan,7,108
2011-01-25,spring,2011,Jan,8,238
2011-01-25,spring,2011,Jan,9,144
2011-01-25,spring,2011,Jan,10,55
2011-01-25,spring,2011,Jan,11,61
2011-01-25,spring,2011,Jan,12,106
2011-01-25,spring,2011,Jan,13,93
2011-01-25,spring,2011,Jan,14,68
2011-01-25,spring,2011,Jan,15,84
2011-01-25,spring,2011,Jan,16,116
2011-01-25,spring,2011,Jan,17,222
2011-01-25,spring,2011,Jan,18,225
2011-01-25,spring,2011,Jan,19,146
2011-01-25,spring,2011,Jan,20,119
2011-01-25,spring,2011,Jan,21,45
2011-01-25,spring,2011,Jan,22,53
2011-01-25,spring,2011,Jan,23,40
2011-01-26,spring,2011,Jan,0,17
2011-01-26,spring,2011,Jan,1,5
2011-01-26,spring,2011,Jan,2,10
2011-01-26,spring,2011,Jan,5,1
2011-01-26,spring,2011,Jan,6,8
2011-01-26,spring,2011,Jan,7,30
2011-01-26,spring,2011,Jan,8,72
2011-01-26,spring,2011,Jan,9,58
2011-01-26,spring,2011,Jan,10,28
2011-01-26,spring,2011,Jan,11,41
2011-01-26,spring,2011,Jan,12,48
2011-01-26,spring,2011,Jan,13,47
2011-01-26,spring,2011,Jan,14,36
2011-01-26,spring,2011,Jan,15,43
2011-01-26,spring,2011,Jan,16,36
2011-01-26,spring,2011,Jan,17,26
2011-01-27,spring,2011,Jan,16,24
2011-01-27,spring,2011,Jan,17,84
2011-01-27,spring,2011,Jan,18,104
2011-01-27,spring,2011,Jan,19,79
2011-01-27,spring,2011,Jan,20,59
2011-01-27,spring,2011,Jan,21,38
2011-01-27,spring,2011,Jan,22,27
2011-01-27,spring,2011,Jan,23,16
2011-01-28,spring,2011,Jan,0,9
2011-01-28,spring,2011,Jan,1,3
2011-01-28,spring,2011,Jan,2,2
2011-01-28,spring,2011,Jan,3,1
2011-01-28,spring,2011,Jan,5,4
2011-01-28,spring,2011,Jan,6,16
2011-01-28,spring,2011,Jan,7,60
2011-01-28,spring,2011,Jan,8,157
2011-01-28,spring,2011,Jan,9,101
2011-01-28,spring,2011,Jan,10,49
2011-01-28,spring,2011,Jan,11,30
2011-01-28,spring,2011,Jan,12,29
2011-01-28,spring,2011,Jan,13,31
2011-01-28,spring,2011,Jan,14,38
2011-01-28,spring,2011,Jan,15,41
2011-01-28,spring,2011,Jan,16,80
2011-01-28,spring,2011,Jan,17,149
2011-01-28,spring,2011,Jan,18,109
2011-01-28,spring,2011,Jan,19,89
2011-01-28,spring,2011,Jan,20,62
2011-01-28,spring,2011,Jan,21,58
2011-01-28,spring,2011,Jan,22,26
2011-01-28,spring,2011,Jan,23,23
2011-01-29,spring,2011,Jan,0,28
2011-01-29,spring,2011,Jan,1,20
2011-01-29,spring,2011,Jan,2,15
2011-01-29,spring,2011,Jan,3,8
2011-01-29,spring,2011,Jan,4,3
2011-01-29,spring,2011,Jan,6,2
2011-01-29,spring,2011,Jan,7,5
2011-01-29,spring,2011,Jan,8,34
2011-01-29,spring,2011,Jan,9,34
2011-01-29,spring,2011,Jan,10,55
2011-01-29,spring,2011,Jan,11,64
2011-01-29,spring,2011,Jan,12,78
2011-01-29,spring,2011,Jan,13,65
2011-01-29,spring,2011,Jan,14,99
2011-01-29,spring,2011,Jan,15,120
2011-01-29,spring,2011,Jan,16,107
2011-01-29,spring,2011,Jan,17,91
2011-01-29,spring,2011,Jan,18,68
2011-01-29,spring,2011,Jan,19,58
2011-01-29,spring,2011,Jan,20,43
2011-01-29,spring,2011,Jan,21,36
2011-01-29,spring,2011,Jan,22,32
2011-01-29,spring,2011,Jan,23,33
2011-01-30,spring,2011,Jan,0,33
2011-01-30,spring,2011,Jan,1,29
2011-01-30,spring,2011,Jan,2,11
2011-01-30,spring,2011,Jan,3,8
2011-01-30,spring,2011,Jan,4,1
2011-01-30,spring,2011,Jan,5,3
2011-01-30,spring,2011,Jan,7,3
2011-01-30,spring,2011,Jan,8,12
2011-01-30,spring,2011,Jan,9,38
2011-01-30,spring,2011,Jan,10,64
2011-01-30,spring,2011,Jan,11,59
2011-01-30,spring,2011,Jan,12,97
2011-01-30,spring,2011,Jan,13,84
2011-01-30,spring,2011,Jan,14,122
2011-01-30,spring,2011,Jan,15,109
2011-01-30,spring,2011,Jan,16,123
2011-01-30,spring,2011,Jan,17,77
2011-01-30,spring,2011,Jan,18,65
2011-01-30,spring,2011,Jan,19,55
2011-01-30,spring,2011,Jan,20,33
2011-01-30,spring,2011,Jan,21,28
2011-01-30,spring,2011,Jan,22,21
2011-01-30,spring,2011,Jan,23,21
2011-01-31,spring,2011,Jan,0,7
