dateday,season,year,month,count
2011-05-07,summer,2011,May,4714
2011-05-08,summer,2011,May,4333
2011-05-09,summer,2011,May,4362
2011-05-10,summer,2011,May,4803
2011-05-11,summer,2011,May,4182
2011-05-12,summer,2011,May,4864
2011-05-13,summer,2011,May,4105
2011-05-14,summer,2011,May,3409
2011-05-15,summer,2011,May,4553
2011-05-16,summer,2011,May,3958
2011-05-17,summer,2011,May,4123
2011-05-18,summer,2011,May,3855
2011-05-19,summer,2011,May,4575
2011-05-20,summer,2011,May,4917
2011-05-21,summer,2011,May,5805
2011-05-22,summer,2011,May,4660
2011-05-23,summer,2011,May,4274
2011-05-24,summer,2011,May,4492
2011-05-25,summer,2011,May,4978
2011-05-26,summer,2011,May,4677
2011-05-27,summer,2011,May,4679
2011-05-28,summer,2011,May,4758
2011-05-29,summer,2011,May,4788
2011-05-30,summer,2011,May,4098
2011-05-31,summer,2011,May,3982
2011-06-01,summer,2011,Jun,3974
2011-06-02,summer,2011,Jun,4968
2011-06-03,summer,2011,Jun,5312
2011-06-04,summer,2011,Jun,5342
2011-06-05,summer,2011,Jun,4906
2011-06-06,summer,2011,Jun,4548
2011-06-07,summer,2011,Jun,4833
2011-06-08,summer,2011,Jun,4401
2011-06-09,summer,2011,Jun,3915
2011-06-10,summer,2011,Jun,4586
2011-06-11,summer,2011,Jun,4966
2011-06-12,summer,2011,Jun,4460
2011-06-13,summer,2011,Jun,5020
2011-06-14,summer,2011,Jun,4891
2011-06-15,summer,2011,Jun,5180
2011-06-16,summer,2011,Jun,3767
2011-06-17,summer,2011,Jun,4844
2011-06-18,summer,2011,Jun,5119
2011-06-19,summer,2011,Jun,4744
2011-06-20,summer,2011,Jun,4010
2011-06-21,fall,2011,Jun,4835
2011-06-22,fall,2011,Jun,4507
2011-06-23,fall,2011,Jun,4790
2011-06-24,fall,2011,Jun,4991
2011-06-25,fall,2011,Jun,5202
2011-06-26,fall,2011,Jun,5305
2011-06-27,fall,2011,Jun,4708
2011-06-28,fall,2011,Jun,4648
2011-06-29,fall,2011,Jun,5225
2011-06-30,fall,2011,Jun,5515
2011-07-01,fall,2011,Jul,5362
2011-07-02,fall,2011,Jul,5119
2011-07-03,fall,2011,Jul,4649
2011-07-04,fall,2011,Jul,6043
2011-07-05,fall,2011,Jul,4665
2011-07-06,fall,2011,Jul,4629
2011-07-07,fall,2011,Jul,4592
2011-07-08,fall,2011,Jul,4040
2011-07-09,fall,2011,Jul,5336
2011-07-10,fall,2011,Jul,4881
2011-07-11,fall,2011,Jul,4086
2011-07-12,fall,2011,Jul,4258
2011-07-13,fall,2011,Jul,4342
2011-07-14,fall,2011,Jul,5084
2011-07-15,fall,2011,Jul,5538
2011-07-16,fall,2011,Jul,5923
2011-07-17,fall,2011,Jul,5302
2011-07-18,fall,2011,Jul,4458
2011-07-19,fall,2011,Jul,4541
2011-07-20,fall,2011,Jul,4332
2011-07-21,fall,2011,Jul,3784
2011-07-22,fall,2011,Jul,3387
2011-07-23,fall,2011,Jul,3285
2011-07-24,fall,2011,Jul,3606
2011-07-25,fall,2011,Jul,3840
2011-07-26,fall,2011,Jul,4590
2011-07-27,fall,2011,Jul,4656
2011-07-28,fall,2011,Jul,4390
2011-07-29,fall,2011,Jul,3846
2011-07-30,fall,2011,Jul,4475
2011-07-31,fall,2011,Jul,4302
2011-08-01,fall,2011,Aug,4266
2011-08-02,fall,2011,Aug,4845
2011-08-03,fall,2011,Aug,3574
2011-08-04,fall,2011,Aug,4576
2011-08-05,fall,2011,Aug,4866
2011-08-06,fall,2011,Aug,4294
2011-08-07,fall,2011,Aug,3785
2011-08-08,fall,2011,Aug,4326
2011-08-09,fall,2011,Aug,4602
2011-08-10,fall,2011,Aug,4780
2011-08-11,fall,2011,Aug,4792
2011-08-12,fall,2011,Aug,4905
2011-08-13,fall,2011,Aug,4150
2011-08-14,fall,2011,Aug,3820
2011-08-15,fall,2011,Aug,4338
2011-08-16,fall,2011,Aug,4725
2011-08-17,fall,2011,Aug,4694
2011-08-18,fall,2011,Aug,3805
2011-08-19,fall,2011,Aug,4153
2011-08-20,fall,2011,Aug,5191
2011-08-21,fall,2011,Aug,3873
2011-08-22,fall,2011,Aug,4758
2011-08-23,fall,2011,Aug,5895
2011-08-24,fall,2011,Aug,5130
2011-08-25,fall,2011,Aug,3542
2011-08-26,fall,2011,Aug,4661
2011-08-27,fall,2011,Aug,1115
2011-08-28,fall,2011,Aug,4334
2011-08-29,fall,2011,Aug,4634
2011-08-30,fall,2011,Aug,5204
2011-08-31,fall,2011,Aug,5058
2011-09-01,fall,2011,Sep,5115
2011-09-02,fall,2011,Sep,4727
2011-09-03,fall,2011,Sep,4484
2011-09-04,fall,2011,Sep,4940
2011-09-05,fall,2011,Sep,3351
2011-09-06,fall,2011,Sep,2710
2011-09-07,fall,2011,Sep,1996
2011-09-08,fall,2011,Sep,1842
2011-09-09,fall,2011,Sep,3544
2011-09-10,fall,2011,Sep,5345
2011-09-11,fall,2011,Sep,5046
2011-09-12,fall,2011,Sep,4713
2011-09-13,fall,2011,Sep,4763
2011-09-14,fall,2011,Sep,4785
2011-09-15,fall,2011,Sep,3659
2011-09-16,fall,2011,Sep,4760
2011-09-17,fall,2011,Sep,4511
2011-09-18,fall,2011,Sep,4274
2011-09-19,fall,2011,Sep,4539
2011-09-20,fall,2011,Sep,3641
2011-09-21,fall,2011,Sep,4352
2011-09-22,fall,2011,Sep,4795
2011-09-23,winter,2011,Sep,2395
2011-09-24,winter,2011,Sep,5423
2011-09-25,winter,2011,Sep,5010
2011-09-26,winter,2011,Sep,4630
2011-09-27,winter,2011,Sep,4120
2011-09-28,winter,2011,Sep,3907
2011-09-29,winter,2011,Sep,4839
2011-09-30,winter,2011,Sep,5202
2011-10-01,winter,2011,Oct,2429
2011-10-02,winter,2011,Oct,2918
2011-10-03,winter,2011,Oct,3570
2011-10-04,winter,2011,Oct,4456
2011-10-05,winter,2011,Oct,4826
2011-10-06,winter,2011,Oct,4765
2011-10-07,winter,2011,Oct,4985
2011-10-08,winter,2011,Oct,5409
2011-10-09,winter,2011,Oct,5511
2011-10-10,winter,2011,Oct,5117
2011-10-11,winter,2011,Oct,4563
2011-10-12,winter,2011,Oct,2416
2011-10-13,winter,2011,Oct,2913
2011-10-14,winter,2011,Oct,3644
2011-10-15,winter,2011,Oct,5217
2011-10-16,winter,2011,Oct,5041
2011-10-17,winter,2011,Oct,4570
2011-10-18,winter,2011,Oct,4748
2011-10-19,winter,2011,Oct,2424
2011-10-20,winter,2011,Oct,4195
2011-10-21,winter,2011,Oct,4304
2011-10-22,winter,2011,Oct,4308
2011-10-23,winter,2011,Oct,4381
2011-10-24,winter,2011,Oct,4187
2011-10-25,winter,2011,Oct,4687
2011-10-26,winter,2011,Oct,3894
2011-10-27,winter,2011,Oct,2659
2011-10-28,winter,2011,Oct,3747
2011-10-29,winter,2011,Oct,627
2011-10-30,winter,2011,Oct,3331
2011-10-31,winter,2011,Oct,3669
2011-11-01,winter,2011,Nov,4068
2011-11-02,winter,2011,Nov,4186
2011-11-03,winter,2011,Nov,3974
2011-11-04,winter,2011,Nov,4046
2011-11-05,winter,2011,Nov,3926
2011-11-06,winter,2011,Nov,3649
2011-11-07,winter,2011,Nov,4035
2011-11-08,winter,2011,Nov,4205
2011-11-09,winter,2011,Nov,4109
2011-11-10,winter,2011,Nov,2933
2011-11-11,winter,2011,Nov,3368
2011-11-12,winter,2011,Nov,4067
2011-11-13,winter,2011,Nov,3717
2011-11-14,winter,2011,Nov,4486
2011-11-15,winter,2011,Nov,4195
2011-11-16,winter,2011,Nov,1817
2011-11-17,winter,2011,Nov,3053
2011-11-18,winter,2011,Nov,3392
2011-11-19,winter,2011,Nov,3663
2011-11-20,winter,2011,Nov,3520
2011-11-21,winter,2011,Nov,2765
2011-11-22,winter,2011,Nov,1607
2011-11-23,winter,2011,Nov,2566
2011-11-24,winter,2011,Nov,1495
2011-11-25,winter,2011,Nov,2792
2011-11-26,winter,2011,Nov,3068
2011-11-27,winter,2011,Nov,3071
2011-11-28,winter,2011,Nov,3867
2011-11-29,winter,2011,Nov,2914
2011-11-30,winter,2011,Nov,3613
2011-12-01,winter,2011,Dec,3727
2011-12-02,winter,2011,Dec,3940
2011-12-03,winter,2011,Dec,3614
2011-12-04,winter,2011,Dec,3485
2011-12-05,winter,2011,Dec,3811
2011-12-06,winter,2011,Dec,2594
2011-12-07,winter,2011,Dec,705
2011-12-08,winter,2011,Dec,3322
2011-12-09,winter,2011,Dec,3620
2011-12-10,winter,2011,Dec,3190
2011-12-11,winter,2011,Dec,2743
2011-12-12,winter,2011,Dec,3310
2011-12-13,winter,2011,Dec,3523
2011-12-14,winter,2011,Dec,3740
2011-12-15,winter,2011,Dec,3709
2011-12-16,winter,2011,Dec,3577
2011-12-17,winter,2011,Dec,2739
2011-12-18,winter,2011,Dec,2431
2011-12-19,winter,2011,Dec,3403
2011-12-20,winter,2011,Dec,3750
2011-12-21,spring,2011,Dec,2660
2011-12-22,spring,2011,Dec,3068
2011-12-23,spring,2011,Dec,2209
2011-12-24,spring,2011,Dec,1011
2011-12-25,spring,2011,Dec,754
2011-12-26,spring,2011,Dec,1317
2011-12-27,spring,2011,Dec,1162
2011-12-28,spring,2011,Dec,2302
2011-12-29,spring,2011,Dec,2423
2011-12-30,spring,2011,Dec,2999
2011-12-31,spring,2011,Dec,2485
2012-01-01,spring,2012,Jan,2294
2012-01-02,spring,2012,Jan,1951
2012-01-03,spring,2012,Jan,2236
2012-01-04,spring,2012,Jan,2368
2012-01-05,spring,2012,Jan,3272
2012-01-06,spring,2012,Jan,4098
2012-01-07,spring,2012,Jan,4521
2012-01-08,spring,2012,Jan,3425
2012-01-09,spring,2012,Jan,2376
2012-01-10,spring,2012,Jan,3598
2012-01-11,spring,2012,Jan,2177
2012-01-12,spring,2012,Jan,4097
2012-01-13,spring,2012,Jan,3214
2012-01-14,spring,2012,Jan,2493
2012-01-15,spring,2012,Jan,2311
2012-01-16,spring,2012,Jan,2298
2012-01-17,spring,2012,Jan,2935
2012-01-18,spring,2012,Jan,3376
2012-01-19,spring,2012,Jan,3292
2012-01-20,spring,2012,Jan,3163
2012-01-21,spring,2012,Jan,1301
2012-01-22,spring,2012,Jan,1977
2012-01-23,spring,2012,Jan,2432
2012-01-24,spring,2012,Jan,4339
2012-01-25,spring,2012,Jan,4270
2012-01-26,spring,2012,Jan,4075
2012-01-27,spring,2012,Jan,3456
2012-01-28,spring,2012,Jan,4023
2012-01-29,spring,2012,Jan,3243
2012-01-30,spring,2012,Jan,3624
2012-01-31,spring,2012,Jan,4509
2012-02-01,spring,2012,Feb,4579
2012-02-02,spring,2012,Feb,3761
2012-02-03,spring,2012,Feb,4151
2012-02-04,spring,2012,Feb,2832
2012-02-05,spring,2012,Feb,2947
2012-02-06,spring,2012,Feb,3784
2012-02-07,spring,2012,Feb,4375
2012-02-08,spring,2012,Feb,2802
2012-02-09,spring,2012,Feb,3830
2012-02-10,spring,2012,Feb,3831
2012-02-11,spring,2012,Feb,2169
2012-02-12,spring,2012,Feb,1529
2012-02-13,spring,2012,Feb,3422
2012-02-14,spring,2012,Feb,3922
2012-02-15,spring,2012,Feb,4169
2012-02-16,spring,2012,Feb,3005
2012-02-17,spring,2012,Feb,4154
2012-02-18,spring,2012,Feb,4318
2012-02-19,spring,2012,Feb,2689
2012-02-20,spring,2012,Feb,3129
2012-02-21,spring,2012,Feb,3777
2012-02-22,spring,2012,Feb,4773
2012-02-23,spring,2012,Feb,5062
2012-02-24,spring,2012,Feb,3487
2012-02-25,spring,2012,Feb,2732
2012-02-26,spring,2012,Feb,3389
2012-02-27,spring,2012,Feb,4322
2012-02-28,spring,2012,Feb,4363
2012-02-29,spring,2012,Feb,1834
2012-03-01,spring,2012,Mar,4990
2012-03-02,spring,2012,Mar,3194
2012-03-03,spring,2012,Mar,4066
2012-03-04,spring,2012,Mar,3423
2012-03-05,spring,2012,Mar,3333
2012-03-06,spring,2012,Mar,3956
2012-03-07,spring,2012,Mar,4916
2012-03-08,spring,2012,Mar,5382
2012-03-09,spring,2012,Mar,4569
2012-03-10,spring,2012,Mar,4118
2012-03-11,spring,2012,Mar,4911
2012-03-12,spring,2012,Mar,5298
2012-03-13,spring,2012,Mar,5847
2012-03-14,spring,2012,Mar,6312
2012-03-15,spring,2012,Mar,6192
2012-03-16,spring,2012,Mar,4378
2012-03-17,spring,2012,Mar,7836
2012-03-18,spring,2012,Mar,5892
2012-03-19,spring,2012,Mar,6153
2012-03-20,spring,2012,Mar,6093
2012-03-21,summer,2012,Mar,6230
2012-03-22,summer,2012,Mar,6871
2012-03-23,summer,2012,Mar,8362
2012-03-24,summer,2012,Mar,3372
2012-03-25,summer,2012,Mar,4996
2012-03-26,summer,2012,Mar,5558
2012-03-27,summer,2012,Mar,5102
2012-03-28,summer,2012,Mar,5698
2012-03-29,summer,2012,Mar,6133
2012-03-30,summer,2012,Mar,5459
2012-03-31,summer,2012,Mar,6235
2012-04-01,summer,2012,Apr,6041
2012-04-02,summer,2012,Apr,5936
2012-04-03,summer,2012,Apr,6772
2012-04-04,summer,2012,Apr,6436
2012-04-05,summer,2012,Apr,6457
2012-04-06,summer,2012,Apr,6460
2012-04-07,summer,2012,Apr,6857
2012-04-08,summer,2012,Apr,5169
2012-04-09,summer,2012,Apr,5585
2012-04-10,summer,2012,Apr,5918
2012-04-11,summer,2012,Apr,4862
2012-04-12,summer,2012,Apr,5409
2012-04-13,summer,2012,Apr,6398
2012-04-14,summer,2012,Apr,7460
2012-04-15,summer,2012,Apr,7132
2012-04-16,summer,2012,Apr,6370
2012-04-17,summer,2012,Apr,6691
2012-04-18,summer,2012,Apr,4367
2012-04-19,summer,2012,Apr,6565
2012-04-20,summer,2012,Apr,7290
2012-04-21,summer,2012,Apr,6624
2012-04-22,summer,2012,Apr,1027
2012-04-23,summer,2012,Apr,3214
2012-04-24,summer,2012,Apr,5633
2012-04-25,summer,2012,Apr,6196
2012-04-26,summer,2012,Apr,5026
2012-04-27,summer,2012,Apr,6233
2012-04-28,summer,2012,Apr,4220
2012-04-29,summer,2012,Apr,6304
2012-04-30,summer,2012,Apr,5572
2012-05-01,summer,2012,May,5740
2012-05-02,summer,2012,May,6169
2012-05-03,summer,2012,May,6421
2012-05-04,summer,2012,May,6296
2012-05-05,summer,2012,May,6883
2012-05-06,summer,2012,May,6359
2012-05-07,summer,2012,May,6273
2012-05-08,summer,2012,May,5728
2012-05-09,summer,2012,May,4717
2012-05-10,summer,2012,May,6572
2012-05-11,summer,2012,May,7030
2012-05-12,summer,2012,May,7429
2012-05-13,summer,2012,May,6118
2012-05-14,summer,2012,May,2843
2012-05-15,summer,2012,May,5115
2012-05-16,summer,2012,May,7424
2012-05-17,summer,2012,May,7384
2012-05-18,summer,2012,May,7639
2012-05-19,summer,2012,May,8294
2012-05-20,summer,2012,May,7129
2012-05-21,summer,2012,May,4359
2012-05-22,summer,2012,May,6073
2012-05-23,summer,2012,May,5260
2012-05-24,summer,2012,May,6770
2012-05-25,summer,2012,May,6734
2012-05-26,summer,2012,May,6536
2012-05-27,summer,2012,May,6591
2012-05-28,summer,2012,May,6043
2012-05-29,summer,2012,May,5743
2012-05-30,summer,2012,May,6855
2012-05-31,summer,2012,May,7338
2012-06-01,summer,2012,Jun,4127
2012-06-02,summer,2012,Jun,8120
2012-06-03,summer,2012,Jun,7641
2012-06-04,summer,2012,Jun,6998
2012-06-05,summer,2012,Jun,7001
2012-06-06,summer,2012,Jun,7055
2012-06-07,summer,2012,Jun,7494
2012-06-08,summer,2012,Jun,7736
2012-06-09,summer,2012,Jun,7498
2012-06-10,summer,2012,Jun,6598
2012-06-11,summer,2012,Jun,6664
2012-06-12,summer,2012,Jun,4972
2012-06-13,summer,2012,Jun,7421
2012-06-14,summer,2012,Jun,7363
2012-06-15,summer,2012,Jun,7665
2012-06-16,summer,2012,Jun,7702
2012-06-17,summer,2012,Jun,6978
2012-06-18,summer,2012,Jun,5099
2012-06-19,summer,2012,Jun,6825
2012-06-20,summer,2012,Jun,6211
2012-06-21,fall,2012,Jun,5905
2012-06-22,fall,2012,Jun,5823
2012-06-23,fall,2012,Jun,7458
2012-06-24,fall,2012,Jun,6891
2012-06-25,fall,2012,Jun,6779
2012-06-26,fall,2012,Jun,7442
2012-06-27,fall,2012,Jun,7335
2012-06-28,fall,2012,Jun,6879
2012-06-29,fall,2012,Jun,5463
2012-06-30,fall,2012,Jun,5687
2012-07-01,fall,2012,Jul,5531
2012-07-02,fall,2012,Jul,6227
2012-07-03,fall,2012,Jul,6660
2012-07-04,fall,2012,Jul,7403
2012-07-05,fall,2012,Jul,6241
2012-07-06,fall,2012,Jul,6207
2012-07-07,fall,2012,Jul,4840
2012-07-08,fall,2012,Jul,4672
2012-07-09,fall,2012,Jul,6569
2012-07-10,fall,2012,Jul,6290
2012-07-11,fall,2012,Jul,7264
2012-07-12,fall,2012,Jul,7446
2012-07-13,fall,2012,Jul,7499
2012-07-14,fall,2012,Jul,6969
2012-07-15,fall,2012,Jul,6031
2012-07-16,fall,2012,Jul,6830
2012-07-17,fall,2012,Jul,6786
2012-07-18,fall,2012,Jul,5713
2012-07-19,fall,2012,Jul,6591
2012-07-20,fall,2012,Jul,5870
2012-07-21,fall,2012,Jul,4459
2012-07-22,fall,2012,Jul,7410
2012-07-23,fall,2012,Jul,6966
2012-07-24,fall,2012,Jul,7592
2012-07-25,fall,2012,Jul,8173
2012-07-26,fall,2012,Jul,6861
2012-07-27,fall,2012,Jul,6904
2012-07-28,fall,2012,Jul,6685
2012-07-29,fall,2012,Jul,6597
2012-07-30,fall,2012,Jul,7105
2012-07-31,fall,2012,Jul,7216
2012-08-01,fall,2012,Aug,7580
2012-08-02,fall,2012,Aug,7261
2012-08-03,fall,2012,Aug,7175
2012-08-04,fall,2012,Aug,6824
2012-08-05,fall,2012,Aug,5464
2012-08-06,fall,2012,Aug,7013
2012-08-07,fall,2012,Aug,7273
2012-08-08,fall,2012,Aug,7534
2012-08-09,fall,2012,Aug,7286
2012-08-10,fall,2012,Aug,5786
2012-08-11,fall,2012,Aug,6299
2012-08-12,fall,2012,Aug,6544
2012-08-13,fall,2012,Aug,6883
2012-08-14,fall,2012,Aug,6784
2012-08-15,fall,2012,Aug,7347
2012-08-16,fall,2012,Aug,7605
2012-08-17,fall,2012,Aug,7148
2012-08-18,fall,2012,Aug,7865
2012-08-19,fall,2012,Aug,4549
2012-08-20,fall,2012,Aug,6530
2012-08-21,fall,2012,Aug,7006
2012-08-22,fall,2012,Aug,7375
2012-08-23,fall,2012,Aug,7765
2012-08-24,fall,2012,Aug,7582
2012-08-25,fall,2012,Aug,6053
2012-08-26,fall,2012,Aug,5255
2012-08-27,fall,2012,Aug,6917
2012-08-28,fall,2012,Aug,7040
2012-08-29,fall,2012,Aug,7697
2012-08-30,fall,2012,Aug,7713
2012-08-31,fall,2012,Aug,7350
2012-09-01,fall,2012,Sep,6140
2012-09-02,fall,2012,Sep,5810
2012-09-03,fall,2012,Sep,6034
2012-09-04,fall,2012,Sep,6864
2012-09-05,fall,2012,Sep,7112
2012-09-06,fall,2012,Sep,6203
2012-09-07,fall,2012,Sep,7504
2012-09-08,fall,2012,Sep,5976
2012-09-09,fall,2012,Sep,8227
2012-09-10,fall,2012,Sep,7525
2012-09-11,fall,2012,Sep,7767
2012-09-12,fall,2012,Sep,7870
2012-09-13,fall,2012,Sep,7804
2012-09-14,fall,2012,Sep,8009
2012-09-15,fall,2012,Sep,8714
2012-09-16,fall,2012,Sep,7333
2012-09-17,fall,2012,Sep,6869
2012-09-18,fall,2012,Sep,4073
2012-09-19,fall,2012,Sep,7591
2012-09-20,fall,2012,Sep,7720
2012-09-21,fall,2012,Sep,8167
2012-09-22,fall,2012,Sep,8395
2012-09-23,winter,2012,Sep,7907
2012-09-24,winter,2012,Sep,7436
2012-09-25,winter,2012,Sep,7538
2012-09-26,winter,2012,Sep,7733
2012-09-27,winter,2012,Sep,7393
2012-09-28,winter,2012,Sep,7415
2012-09-29,winter,2012,Sep,8555
2012-09-30,winter,2012,Sep,6889
2012-10-01,winter,2012,Oct,6778
2012-10-02,winter,2012,Oct,4639
2012-10-03,winter,2012,Oct,7572
2012-10-04,winter,2012,Oct,7328
2012-10-05,winter,2012,Oct,8156
2012-10-06,winter,2012,Oct,7965
2012-10-07,winter,2012,Oct,3510
2012-10-08,winter,2012,Oct,5478
2012-10-09,winter,2012,Oct,6392
2012-10-10,winter,2012,Oct,7691
2012-10-11,winter,2012,Oct,7570
2012-10-12,winter,2012,Oct,7282
2012-10-13,winter,2012,Oct,7109
2012-10-14,winter,2012,Oct,6639
2012-10-15,winter,2012,Oct,5875
2012-10-16,winter,2012,Oct,7534
2012-10-17,winter,2012,Oct,7461
2012-10-18,winter,2012,Oct,7509
2012-10-19,winter,2012,Oct,5424
2012-10-20,winter,2012,Oct,8090
2012-10-21,winter,2012,Oct,6824
2012-10-22,winter,2012,Oct,7058
2012-10-23,winter,2012,Oct,7466
2012-10-24,winter,2012,Oct,7693
2012-10-25,winter,2012,Oct,7359
2012-10-26,winter,2012,Oct,7444
2012-10-27,winter,2012,Oct,7852
2012-10-28,winter,2012,Oct,4459
2012-10-29,winter,2012,Oct,22
2012-10-30,winter,2012,Oct,1096
2012-10-31,winter,2012,Oct,5566
2012-11-01,winter,2012,Nov,5986
2012-11-02,winter,2012,Nov,5847
2012-11-03,winter,2012,Nov,5138
2012-11-04,winter,2012,Nov,5107
2012-11-05,winter,2012,Nov,5259
2012-11-06,winter,2012,Nov,5686
2012-11-07,winter,2012,Nov,5035
2012-11-08,winter,2012,Nov,5315
2012-11-09,winter,2012,Nov,5992
2012-11-10,winter,2012,Nov,6536
2012-11-11,winter,2012,Nov,6852
2012-11-12,winter,2012,Nov,6269
2012-11-13,winter,2012,Nov,4094
2012-11-14,winter,2012,Nov,5495
2012-11-15,winter,2012,Nov,5445
2012-11-16,winter,2012,Nov,5698
2012-11-17,winter,2012,Nov,5629
2012-11-18,winter,2012,Nov,4669
2012-11-19,winter,2012,Nov,5499
2012-11-20,winter,2012,Nov,5634
2012-11-21,winter,2012,Nov,5146
2012-11-22,winter,2012,Nov,2425
2012-11-23,winter,2012,Nov,3910
2012-11-24,winter,2012,Nov,2277
2012-11-25,winter,2012,Nov,2424
2012-11-26,winter,2012,Nov,5087
2012-11-27,winter,2012,Nov,3959
2012-11-28,winter,2012,Nov,5260
2012-11-29,winter,2012,Nov,5323
2012-11-30,winter,2012,Nov,5668
2012-12-01,winter,2012,Dec,5191
2012-12-02,winter,2012,Dec,4649
2012-12-03,winter,2012,Dec,6234
2012-12-04,winter,2012,Dec,6606
2012-12-05,winter,2012,Dec,5729
